Direction du gestionnaire du dossier,région,program,code_insee,portage,NOM PRE,contact,REP REP+,CITE EDUCATIVE,QPV
Gers,OCCITANIE,AUCH,32013,COMMUNAUTE D'AGGLOMERATION -AUCH,,patrice.debest@grand-auch.fr,,,
Gironde,NOUVELLE AQUITAINE,LORMONT,33249,CAISSE DES ECOLES-LORMONT,,veronique.gourmanel@lormont.fr,,,
Gironde,NOUVELLE AQUITAINE,BASSENS,33032,CCAS-BASSENS,,julie.verdier@ville-bassens.fr,,,
Gironde,NOUVELLE AQUITAINE,BEGLES,33039,CCAS-BEGLES,,e.proust@mairie-begles.fr,,,
Essonne,ILE-DE-FRANCE,COURCOURONNES,91182,GIP-COURCOURONNES,,caroline.kesseler@evrycourcouronnes.fr,,,
Gironde,NOUVELLE AQUITAINE,FLOIRAC,17160,CCAS-FLOIRAC,,w.elamrani@ville-floirac33.fr,,,
Gironde,NOUVELLE AQUITAINE,MERIGNAC,16216,CCAS-MERIGNAC,,k.legoff@merignac.com,,,
Val-de-Marne,ILE-DE-FRANCE,CRETEIL CEDEX,94028,CCAS-CRETEIL CEDEX,,aude.ledouarin@ville-creteil.fr,,,
Gironde,NOUVELLE AQUITAINE,SAINTE FOY LA GRANDE,33402,CCAS-SAINTE FOY LA GRANDE,,ccas@saintefoylagrande.fr,,,
Gironde,NOUVELLE AQUITAINE,TALENCE,33522,CCAS-TALENCE,,o.mendy@talence.fr,,,
Gironde,NOUVELLE AQUITAINE,BORDEAUX,33063,GIP RE-BORDEAUX,,g.sengenes@gmail.com,,,
Hérault,OCCITANIE,AGDE,34003,CAISSE DES ECOLES-AGDE,,lise.castan@ville-agde.fr,,,
Hérault,OCCITANIE,FRONTIGNAN,34108,CAISSE DES ECOLES-FRONTIGNAN,,c.guesnier@frontignan.fr,,,
Hérault,OCCITANIE,LUNEL,34145,CAISSE DES ECOLES-LUNEL,,catherine.lequenne@ville-lunel.fr,,,
Hérault,OCCITANIE,BEDARIEUX,34028,CCAS-BEDARIEUX,,hvernetmartin@bedarieux.fr,,,
Hérault,OCCITANIE,LODEVE,34142,CCAS-LODEVE,,pre@ccas-lodeve.fr,,,
Hérault,OCCITANIE,MONTPELLIER,34172,CCAS-MONTPELLIER,,lydie.fournier@ccas.montpellier.fr,,,
Hérault,OCCITANIE,SETE,34301,CCAS-SETE,,bonis@ville-sete.fr,,,
Hérault,OCCITANIE,BEZIERS,34032,LYCEE POLYVALENT JEAN MOULIN -BEZIERS,,nadia.boulet.dre@orange.fr,,,
Seine-Maritime,NORMANDIE,DIEPPE CEDEX,76217,CCAS-DIEPPE CEDEX,,martin.triquet@mairie-dieppe.fr,,,
Ille-et-Vilaine,BRETAGNE,REDON,35236,CCAS-REDON,,l.richard@mairie-redon.fr,,,
Ille-et-Vilaine,BRETAGNE,SAINT MALO,35288,CCAS-SAINT MALO,,acoquer@saint-malo.fr,,,
Ille-et-Vilaine,BRETAGNE,DOL DE BRETAGNE,35095,COMMUNAUTE DE COMMUNES-DOL DE BRETAGNE,,aude.bourget@ccdol-baiemsm.bzh,,,
Essonne,ILE-DE-FRANCE,EPINAY-SOUS-SENART,91215,CAISSE DES ECOLES-EPINAY-SOUS-SENART,,c.morin@ville-epinay-senart.fr,,,
Martinique,OUTRE-MER,FORT DE FRANCE CEDEX,97209,CAISSE DES ECOLES-FORT DE FRANCE CEDEX,,agnes.fanchonnette@fortdefrance.fr,,,
Tarn,OCCITANIE,GAILLAC CEDEX,81099,COMMUNAUTE D'AGGLOMERATION -GAILLAC CEDEX,,coralie.gauben@gaillac-graulhet.fr,,,
Val-d'Oise,ILE-DE-FRANCE,GARGES-LES-GONESSE,95268,CCAS-GARGES-LES-GONESSE,,duponchellem@villedegarges.com,,,
Indre-et-Loire,CENTRE-VAL-DE-LOIRE,AMBOISE,37003,CCAS-AMBOISE,,mc.poret-legot@ville-amboise.fr,,,
Nord,HAUTS-DE-FRANCE,GRANDE-SYNTHE,59271,CCAS-GRANDE-SYNTHE,,s.baheux@ville-grande-synthe.fr,,,
Isère,AUVERGNE-RHONE-ALPES,GRENOBLE,38185,GRENOBLE ALPES METROPOLE-,,malik.allam@grenoblealpesmetropole.fr,,,
Isère,AUVERGNE-RHONE-ALPES,PARIS 10E ARRONDISSEMENT,75110,ASSOCIATION AFEV-PARIS 10E ARRONDISSEMENT,,corentin.gautier@afev.org,,,
Isère,AUVERGNE-RHONE-ALPES,GRENOBLE,38185,ASSOCIATION DE GESTION DES CENTRES DE SANTE-GRENOBLE,,pauline.tbeur@agecsa.fr,,,
Isère,AUVERGNE-RHONE-ALPES,GRENOBLE,38185,CODASE PRÉVENTION SPÉCIALISÉE-GRENOBLE,,s.vial@codase.org,,,
Isère,AUVERGNE-RHONE-ALPES,CHAVANOZ,38097,CCAS-CHAVANOZ,,politiquedelaville@gmail.com,,,
Calvados,NORMANDIE,HEROUVILLE ST CLAIR,14327,CCAS-HEROUVILLE ST CLAIR,,eesartial@herouville.net,,,
Moselle,GRAND EST,HOMBOURG-HAUT,57332,CCAS-HOMBOURG-HAUT,,ccas@hombourg-haut.com,,,
Indre-et-Loire,CENTRE-VAL-DE-LOIRE,JOUE LES TOURS CEDEX,37122,CCAS-JOUE LES TOURS CEDEX,,l.fauri@jouelestours.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,L ILE ST DENIS,93039,CCAS-L ILE ST DENIS,,victoria.espinel@lile-saint-denis.fr,,,
Isère,AUVERGNE-RHONE-ALPES,VILLEFONTAINE,38553,GIP RE-VILLEFONTAINE,,lcourault.gipdre@capi38.fr,,,
Jura,BOURGOGNE-FRANCHE-COMTE,DOLE,39198,CCAS-DOLE,,nicole.blime@grand-dole.fr,,,
Val-de-Marne,ILE-DE-FRANCE,L'HAY-LES-ROSES,94038,CAISSE DES ECOLES-L'HAY-LES-ROSES,,amandine.le-jeunne-trujillo@ville-lhay94.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,LA COURNEUVE,93027,CAISSE DES ECOLES-LA COURNEUVE,,laurence.blin@lacourneuve.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,LA GARDE,83062,CCAS-LA GARDE,,opartarrieu@ville-lagarde.fr,,,
Loir-et-Cher,CENTRE-VAL-DE-LOIRE,BLOIS,41018,CAISSE DES ECOLES-BLOIS,,stephane.gordon@blois.fr,,,
Réunion,OUTRE-MER,LA POSSESSION,97408,CAISSE DES ECOLES-LA POSSESSION,,lrothe@lapossession.re,,,
Loir-et-Cher,CENTRE-VAL-DE-LOIRE,VENDOME,41269,REGIE PRE DES ROTTES-VENDOME,,pre@catv41.fr,,,
Loire,AUVERGNE-RHONE-ALPES,LA RICAMARIE,42183,CCAS-LA RICAMARIE,,virginie.sanchez@ville-la-ricamarie.fr,,,
Indre-et-Loire,CENTRE-VAL-DE-LOIRE,LA RICHE,37195,CCAS-LA RICHE,,guillet_e@ville-lariche.fr,,,
Vendée,PAYS DE LA LOIRE,LA ROCHE-SUR-YON,85191,CCAS-LA ROCHE-SUR-YON,,tony.raimbaud@larochesuryon.fr,,,
Charente-Maritime,NOUVELLE AQUITAINE,LA ROCHELLE CEDEX 1,17300,CCAS-LA ROCHELLE CEDEX 1,,mohamed.azouagh@ccas-larochelle.fr,,,
Loire,AUVERGNE-RHONE-ALPES,SAINT ETIENNE,42218,GIP RE-SAINT ETIENNE,,gregory.croibier@saint-etienne.fr,,,
Loire-Atlantique,PAYS DE LA LOIRE,NANTES,44109,CCAS-NANTES,,emmanuel.rossignol@mairie-nantes.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,LA SEYNE SUR MER,83126,CAISSE DES ECOLES-LA SEYNE SUR MER,,prelaseyne83@gmail.com,,,
Yvelines,ILE-DE-FRANCE,LA VERRIERE,78644,CAISSE DES ECOLES-LA VERRIERE,,n.doe@mairie-laverriere.fr,,,
Nord,HAUTS-DE-FRANCE,LAMBERSART CEDEX,59328,CCAS-LAMBERSART CEDEX,,coseibonsu@ville-lambersart.fr,,,
Loiret,CENTRE-VAL-DE-LOIRE,ORLEANS,45234,CCAS-ORLEANS,,florence.billiot@orleans-metropole.fr,,,
Loiret,CENTRE-VAL-DE-LOIRE,PITHIVIERS,45252,CCAS-PITHIVIERS,,gregoire.dorigny@pithiviers.fr,,,
Morbihan,BRETAGNE,LANESTER CEDEX,56098,CCAS-LANESTER CEDEX,,nathalie-damato@ville-lanester.fr,,,
Lot,OCCITANIE,CAHORS,46042,COMMUNAUTE D'AGGLOMERATION -CAHORS,,sdelong@grandcahors.fr,,,
Lot-et-Garonne,NOUVELLE AQUITAINE,AGEN,47001,CCAS-AGEN,,sandrine.pequignot@agglo-agen.fr,,,
Lot-et-Garonne,NOUVELLE AQUITAINE,MARMANDE,47157,CCAS-MARMANDE,,llaporte@mairie-marmande.fr,,,
Lot-et-Garonne,NOUVELLE AQUITAINE,TONNEINS,47310,CCAS-TONNEINS,,nthibault@mairie-tonneins.fr,,,
Seine-Saint-Denis,ILE-DE-FRANCE,LE BLANC-MESNIL,93007,CCAS-LE BLANC-MESNIL,,d.sarr@blancmesnil.fr,,,
Loire,AUVERGNE-RHONE-ALPES,LE CHAMBON FEUGEROLLES,42044,CCAS-LE CHAMBON FEUGEROLLES,,aidjedd@lechambon.fr,,,
Maine-et-Loire,PAYS DE LA LOIRE,SAUMUR,49328,CCAS-SAUMUR,,m.blanchard@ville-saumur.fr,,,
Maine-et-Loire,PAYS DE LA LOIRE,TRELAZE,49353,CCAS-TRELAZE,,elsa.garmis@mairie-trelaze.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,LE CREUSOT,71153,CCAS-LE CREUSOT,,pascale.bahmane@ville-lecreusot.fr,,,
Manche,NORMANDIE,CHERBOURG EN COTENTIN,50129,CAISSE DES ECOLES-CHERBOURG EN COTENTIN,,nathalie.menard@cherbourg.fr,,,
Seine-Maritime,NORMANDIE,LE HAVRE METROPOLE,76351,GIP CONTRAT DE VILLE-LE HAVRE METROPOLE,,jean-yves.briand@lehavremetro.fr,,,
Martinique,OUTRE-MER,LE LAMENTIN,97213,GIP DSU-LE LAMENTIN,,miphaine@mairie-lelamentin.fr,,,
Marne,GRAND EST,EPERNAY,51230,CCAS-EPERNAY,,nathalie.chapuzet@ville-epernay.fr,,,
Marne,GRAND EST,REIMS,51454,CCAS-REIMS,,mohammed.essaidi@reims.fr,,,
Var,PROVENCE-ALPES-COTE-D'AZUR,LE LUC,83073,CCAS-LE LUC,,e.disantantonio@mairie-leluc.fr,,,
Haute-Marne,GRAND EST,CHAUMONT,18060,CAISSE DES ECOLES-CHAUMONT,,alexis.renauld@orange.fr,,,
Haute-Marne,GRAND EST,JOINVILLE,52250,CAISSE DES ECOLES-JOINVILLE,,dgs.joinville@orange.fr,,,
Sarthe,PAYS DE LA LOIRE,LE MANS CEDEX 9,72181,COMMUNAUTE URBAINE-LE MANS CEDEX 9,,julie.hammache-toutain@lemans.fr,,,
Haute-Marne,GRAND EST,LANGRES,52269,VILLE -LANGRES,,benoit.vilasuarez@langres.fr,,,
Mayenne,PAYS DE LA LOIRE,LAVAL,53130,CCAS-LAVAL,,sandrine.fourreau@laval.fr,,,
Meurthe-et-Moselle,GRAND EST,MAXEVILLE,54357,CAISSE DES ECOLES-MAXEVILLE,,drichard@mairie-maxeville.fr,,,
Guadeloupe,OUTRE-MER,LE MOULE,97117,CCAS-LE MOULE,,nadia.shitalou@mairie-lemoule.fr,,,
Meurthe-et-Moselle,GRAND EST,VANDOEUVRE LES NANCY,54547,CAISSE DES ECOLES-VANDOEUVRE LES NANCY,,shaas@vandoeuvre.fr,,,
Meurthe-et-Moselle,GRAND EST,HERSERANGE,54261,CCAS-HERSERANGE,,g.didelot@mairie-herserange.fr,,,
Meurthe-et-Moselle,GRAND EST,JARVILLE LA MALGRANGE,54274,CCAS-JARVILLE LA MALGRANGE,,josiane.jourdain@jarville-la-malgrange.fr,,,
Meurthe-et-Moselle,GRAND EST,LAXOU,54304,CCAS-LAXOU,,contact@laxou.fr,,,
Meurthe-et-Moselle,GRAND EST,LUNEVILLE,54329,CCAS-LUNEVILLE,,fblaison@mairie-luneville.fr,,,
Isère,AUVERGNE-RHONE-ALPES,LE PEAGE DE ROUSSILLON,38298,CCAS-LE PEAGE DE ROUSSILLON,,smael.direction@le-peage-de-roussillon.fr,,,
Meurthe-et-Moselle,GRAND EST,TOUL,54528,CCAS-TOUL,,rachel.debert@mairie-toul.fr,,,
Meuse,GRAND EST,BAR LE DUC,55029,CIAS-BAR LE DUC,,politiquedelaville@meusegrandsud.fr,,,
Meuse,GRAND EST,VERDUN,09328,COMMUNAUTE D'AGGLOMERATION -VERDUN,,abeerten@grandverdun.fr,,,
Seine-Maritime,NORMANDIE,LE PETIT-QUEVILLY,76498,CAISSE DES ECOLES-LE PETIT-QUEVILLY,,goutier.poupon@petit-quevilly.fr,,,
Morbihan,BRETAGNE,HENNEBONT,56083,CCAS-HENNEBONT,,abenabes@mairie-hennebont.fr,,,
